running_id,issues,การเดินทาง,กีดขวาง,คนจรจัด,คลอง,ความปลอดภัย,ความสะอาด,จราจร,ต้นไม้,ถนน,ทางเท้า,ท่อระบายน้ำ,น้ำท่วม,ป้าย,ป้ายจราจร,ร้องเรียน,สอบถาม,สะพาน,สัตว์จรจัด,สายไฟ,ห้องน้ำ,เสนอแนะ,เสียงรบกวน,แสงสว่าง
1,"ทำเรื่องรับสมุดทหารกองหนุน หลังจบแล้วมีให้เสียบเงินกฐิน บอกว่าแล้วแต่จะบริจาค เป็นค่าจดหมายที่ส่งไปแจ้งเตือนแต่ละบ้าน เจ้าหน้าที่บอกว่าเป็นเงินของเขาเองออก ไม่ใช่เงินรัฐ
 
 ไม่เข้าใจว่าถ้างั้นเจ้าหน้าที่ก็สามารถขาดทุนได้เรื่อยๆ หรือ กินเงินสบายๆอาศัยแรงกดดัน
 
 ไม่มีอะไรรับรองได้ว่ามีงบสำหรับจดหมายอย่างไร และไม่สามารถรับรองได้ว่าเงินที่ให้จะบริจาค ทำบุญจริง 
 
 หากเป็นเงินค่าจดหมายจริง ก็ต้องมีการทำบัญชีที่แน่นอน ไม่ใช่เสียบกฐินแล้วแต่ศัทธา",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,"ท่อประปาแตกหน้าบ้าน บ้านเลขที่126 ซ.สุขสวัสดิ์27 ซอยเยื้องรพ.ราษฎร์บูรณะ เขตราษฎร์บูรณะค่ะ
 
 ได้แจ้งประปาไปแล้ว 3ครั้งทุกๆวันจันทร์ ประปาบอกรอติดต่อกลับ แต่เงียบหายค่ะ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,ขอแจ้งเหตุถนนเป็นหลุม ที่บริเวณหน้าหมู่บ้าน casa city กัลปพฤกษ์-สาทร รบกวนประสานงานให้เจ้าหน้าที่มาแก้ไขด้วยครับ เกรงว่าจะเกิดอุบัติเหตุ,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,โครงการเพอร์เฟคเพลสพระราม9กรุงเทพกรีฑา ใช้รถน้ำเสียงดังสูบน้ำเน่ารดน้ำต้นไม้ เสียงดังและมีกลิ่นเหม็นเข้ามาในบ้านผู้อยู่อาศัยในเฟส ซึ่งแตกต่างจากด้านหน้าโครงการที่ใช้น้ำสะอาดไม่มีกลิ่นเหม็นและไม่มีเสียงดังรบกวนความสงบสุข เคยแจ้งทางนี้แล้วแต่โครงการก็ไม่ได้ปรับปุงแก้ไข,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,เคยแจ้งทาง เขตแล้วให้ช่วยเก็บตามบ้าน แต่ละซอย ซึ่งรถใหญ่เข้าไม่ได้ เลยบอกทางเขตต้องเอาคนเดินเก็บใส่ถังขยะที่เป็นรถเข็น ซึ่งทางเขตแจ้งว่า มีพนักงานไม่พอ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,ซอยเพชรเกษม20 แยก11 กลางซอยข้างท่อระบายน้ำมีหลุมและรอยแตก เด็กเล็กในซอยวิ่งไปมาตลอด มีวิ่งสะดุดล้มบาดเจ็บบ้าง อยากให้เขตช่วยดูแลหน่อยจ้า,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,ไม่พอใจการชี้แจงของฝ่ายโยธา เขตคลองสามวา รวมถึงสำนักการโยธา กทม. เรื่องสาเหตุที่ไม่สามารถก่อสร้างสะพานลอยได้ เนื่องจากว่า หน้าสำนักงานเขตมีนบุรี ฟุตบาทแคบ แต่ยังก่อสร้างสะพานลอยได้ แต่ถนนคู้บอนกับถนนเลียบคลองสอง คนเยอะ รถเยอะ เสี่ยงตาย แต่กลับไม่มีสะพานลอยให้ข้าม จึงรับไม่ได้กับการทำงานของข้าราชการพวกนี้ ที่ไม่หาทางเลือก 1 2 3 ให้ เพื่อแก้ไขและปิดปัญหา,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,ไฟที่เสาไฟฟ้าไม่ติดนานแล้ว เคยแจ้งทางเขตแล้ว แต่ไม่ได้รับการแก้ไข,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,"มีการจอดรถในบริเวณที่ห้ามจอด ขาว-แดง ปากซอยเพชรเกษม77/7และ77/8 
 และไม่สามารถแก้ปัญหาได้อย่างแท้จริง",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,เทศกิจปล่อยให้กลับมาขายของเหมือนเดิม รถมอเตอร์ไซค์จอดบนถนน,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
